======================================================================
A11yAgents evaluation
======================================================================
Loading corpus from corpus1/ ...
  180 snippets loaded
Instantiating conditions ...
Total evaluations to run: 1620

[1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb] persona=ade, wcag=2.1.1, expected=passed
  [Condition A warning] axe output has no `tags` field. Running unfiltered baseline. To enable criterion filtering, patch tools/axe_core_agent.py per the docstring in this file.
  persona_agent rep 3/3: predicted=failed, progress=387/1620
[173cb00f20c52f35970c322dedf7bc11450b70c1] persona=elias, wcag=1.4.3, expected=passed
  axe rep 1/3: predicted=failed, progress=388/1620
  axe rep 2/3: predicted=failed, progress=389/1620
  axe rep 3/3: predicted=failed, progress=390/1620
  persona_llm rep 1/3: predicted=failed, progress=391/1620
  persona_llm rep 2/3: predicted=failed, progress=392/1620
  persona_llm rep 3/3: predicted=failed, progress=393/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=394/1620
  persona_agent rep 2/3: predicted=failed, progress=395/1620
  persona_agent rep 3/3: predicted=failed, progress=396/1620
[19123c99ec390011b87736827720d5e1e794bad2] persona=elias, wcag=1.4.3, expected=failed
  axe rep 1/3: predicted=failed, progress=397/1620
  axe rep 2/3: predicted=failed, progress=398/1620
  axe rep 3/3: predicted=failed, progress=399/1620
  persona_llm rep 1/3: predicted=failed, progress=400/1620
  persona_llm rep 2/3: predicted=failed, progress=401/1620
  persona_llm rep 3/3: predicted=failed, progress=402/1620
  persona_agent rep 1/3: predicted=failed, progress=403/1620
  persona_agent rep 2/3: predicted=failed, progress=404/1620
  persona_agent rep 3/3: predicted=failed, progress=405/1620
[308839f424ef1d9dbb5aab0cd9079827ecb00895] persona=elias, wcag=1.4.3, expected=failed
  axe rep 1/3: predicted=failed, progress=406/1620
  axe rep 2/3: predicted=failed, progress=407/1620
  axe rep 3/3: predicted=failed, progress=408/1620
  persona_llm rep 1/3: predicted=failed, progress=409/1620
  persona_llm rep 2/3: predicted=failed, progress=410/1620
  persona_llm rep 3/3: predicted=failed, progress=411/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=412/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=413/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=414/1620
[20f9cd78dd0fa87ee8d40ea3ed35a1fe3ff66508] persona=elias, wcag=1.4.3, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=415/1620
  axe rep 2/3: predicted=failed, progress=416/1620
  axe rep 3/3: predicted=failed, progress=417/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=418/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=419/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=420/1620
WCAG 1.4.12: INAPPLICABLE — no text content found

  persona_agent rep 1/3: predicted=inapplicable, progress=421/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=422/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=423/1620
[2347a45232c34aa309087ed099f4781cd70b5b1e] persona=elias, wcag=1.4.3, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=424/1620
  axe rep 2/3: predicted=failed, progress=425/1620
  axe rep 3/3: predicted=failed, progress=426/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=427/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=428/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=429/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=inapplicable, progress=430/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=inapplicable, progress=431/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=inapplicable, progress=432/1620
[18adb94ce561c2d1f29dec32d91f3dd39a8e45b2] persona=elias, wcag=2.2.2, expected=passed
  axe rep 1/3: predicted=failed, progress=433/1620
  axe rep 2/3: predicted=failed, progress=434/1620
  axe rep 3/3: predicted=failed, progress=435/1620
  persona_llm rep 1/3: predicted=failed, progress=436/1620
  persona_llm rep 2/3: predicted=failed, progress=437/1620
  persona_llm rep 3/3: predicted=failed, progress=438/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=439/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=440/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=441/1620
[337477ac8e969c4d134079babf891b0f1fd33eba] persona=elias, wcag=2.2.2, expected=passed
  axe rep 1/3: predicted=failed, progress=442/1620
  axe rep 2/3: predicted=failed, progress=443/1620
  axe rep 3/3: predicted=failed, progress=444/1620
  persona_llm rep 1/3: predicted=failed, progress=445/1620
  persona_llm rep 2/3: predicted=failed, progress=446/1620
  persona_llm rep 3/3: predicted=failed, progress=447/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=448/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=449/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=450/1620
[8f0a05348afb0a218f3934157dad1b4d1673ea6a] persona=elias, wcag=2.2.2, expected=failed
  axe rep 1/3: predicted=failed, progress=451/1620
  axe rep 2/3: predicted=failed, progress=452/1620
  axe rep 3/3: predicted=failed, progress=453/1620
  persona_llm rep 1/3: predicted=failed, progress=454/1620
  persona_llm rep 2/3: predicted=failed, progress=455/1620
  persona_llm rep 3/3: predicted=failed, progress=456/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=457/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=458/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=459/1620
[axe-blink-failed-01] persona=elias, wcag=2.2.2, expected=failed
  axe rep 1/3: predicted=failed, progress=460/1620
  axe rep 2/3: predicted=failed, progress=461/1620
  axe rep 3/3: predicted=failed, progress=462/1620
  persona_llm rep 1/3: predicted=failed, progress=463/1620
  persona_llm rep 2/3: predicted=failed, progress=464/1620
  persona_llm rep 3/3: predicted=failed, progress=465/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=466/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=467/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=468/1620
[0d1564a1311c77d8693a9f839e1d752df501d441] persona=elias, wcag=2.2.2, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=469/1620
  axe rep 2/3: predicted=failed, progress=470/1620
  axe rep 3/3: predicted=failed, progress=471/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=472/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=473/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=474/1620
WCAG 1.4.12: INAPPLICABLE — no text content found

  persona_agent rep 1/3: predicted=passed, progress=475/1620
WCAG 1.4.12: INAPPLICABLE — no text content found

  persona_agent rep 2/3: predicted=passed, progress=476/1620
WCAG 1.4.12: INAPPLICABLE — no text content found

  persona_agent rep 3/3: predicted=inapplicable, progress=477/1620
[37668beb45f00408309f73569e36e63dc9327620] persona=elias, wcag=2.2.2, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=478/1620
  axe rep 2/3: predicted=failed, progress=479/1620
  axe rep 3/3: predicted=failed, progress=480/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=481/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=482/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=483/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=inapplicable, progress=484/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=inapplicable, progress=485/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=inapplicable, progress=486/1620
[ha-2-4-8-pass-01-breadcrumb-with-current] persona=elias, wcag=2.4.8, expected=passed
  axe rep 1/3: predicted=passed, progress=487/1620
  axe rep 2/3: predicted=passed, progress=488/1620
  axe rep 3/3: predicted=passed, progress=489/1620
  persona_llm rep 1/3: predicted=failed, progress=490/1620
  persona_llm rep 2/3: predicted=failed, progress=491/1620
  persona_llm rep 3/3: predicted=failed, progress=492/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=493/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=494/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=495/1620
[ha-2-4-8-pass-02-current-link-highlighted] persona=elias, wcag=2.4.8, expected=passed
  axe rep 1/3: predicted=passed, progress=496/1620
  axe rep 2/3: predicted=passed, progress=497/1620
  axe rep 3/3: predicted=passed, progress=498/1620
  persona_llm rep 1/3: predicted=failed, progress=499/1620
  persona_llm rep 2/3: predicted=failed, progress=500/1620
  persona_llm rep 3/3: predicted=failed, progress=501/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=502/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=503/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=504/1620
[ha-2-4-8-fail-01-deep-page-no-trail] persona=elias, wcag=2.4.8, expected=failed
  axe rep 1/3: predicted=passed, progress=505/1620
  axe rep 2/3: predicted=passed, progress=506/1620
  axe rep 3/3: predicted=passed, progress=507/1620
  persona_llm rep 1/3: predicted=failed, progress=508/1620
  persona_llm rep 2/3: predicted=failed, progress=509/1620
  persona_llm rep 3/3: predicted=failed, progress=510/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=511/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=512/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=513/1620
[ha-2-4-8-fail-02-breadcrumb-missing-current] persona=elias, wcag=2.4.8, expected=failed
  axe rep 1/3: predicted=passed, progress=514/1620
  axe rep 2/3: predicted=passed, progress=515/1620
  axe rep 3/3: predicted=passed, progress=516/1620
  persona_llm rep 1/3: predicted=failed, progress=517/1620
  persona_llm rep 2/3: predicted=failed, progress=518/1620
  persona_llm rep 3/3: predicted=failed, progress=519/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=520/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=521/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=522/1620
[ha-2-4-8-inap-01-homepage] persona=elias, wcag=2.4.8, expected=inapplicable
  axe rep 1/3: predicted=passed, progress=523/1620
  axe rep 2/3: predicted=passed, progress=524/1620
  axe rep 3/3: predicted=passed, progress=525/1620
  persona_llm rep 1/3: predicted=failed, progress=526/1620
  persona_llm rep 2/3: predicted=failed, progress=527/1620
  persona_llm rep 3/3: predicted=failed, progress=528/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=529/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=530/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=531/1620
[ha-2-4-8-inap-02-single-page-app] persona=elias, wcag=2.4.8, expected=inapplicable
  axe rep 1/3: predicted=passed, progress=532/1620
  axe rep 2/3: predicted=passed, progress=533/1620
  axe rep 3/3: predicted=passed, progress=534/1620
  persona_llm rep 1/3: predicted=failed, progress=535/1620
  persona_llm rep 2/3: predicted=failed, progress=536/1620
  persona_llm rep 3/3: predicted=failed, progress=537/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=538/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=539/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=540/1620
[1400d13aa5a86dbacf71db631f5de1abfc982094] persona=ian, wcag=1.3.1, expected=passed
  axe rep 1/3: predicted=failed, progress=541/1620
  axe rep 2/3: predicted=failed, progress=542/1620
  axe rep 3/3: predicted=failed, progress=543/1620
  persona_llm rep 1/3: predicted=failed, progress=544/1620
  persona_llm rep 2/3: predicted=passed, progress=545/1620
  persona_llm rep 3/3: predicted=passed, progress=546/1620
  persona_agent rep 1/3: predicted=passed, progress=547/1620
  persona_agent rep 2/3: predicted=passed, progress=548/1620
  persona_agent rep 3/3: predicted=passed, progress=549/1620
[1acc47f25d4931c25fe3efbb676af6fd4e2ee57e] persona=ian, wcag=1.3.1, expected=passed
  axe rep 1/3: predicted=failed, progress=550/1620
  axe rep 2/3: predicted=failed, progress=551/1620
  axe rep 3/3: predicted=failed, progress=552/1620
  persona_llm rep 1/3: predicted=passed, progress=553/1620
  persona_llm rep 2/3: predicted=passed, progress=554/1620
  persona_llm rep 3/3: predicted=passed, progress=555/1620
  persona_agent rep 1/3: predicted=failed, progress=556/1620
  persona_agent rep 2/3: predicted=failed, progress=557/1620
  persona_agent rep 3/3: predicted=failed, progress=558/1620
[0763ce51664b522eb3ed2c5479e11f4ed91e871c] persona=ian, wcag=1.3.1, expected=failed
  axe rep 1/3: predicted=failed, progress=559/1620
  axe rep 2/3: predicted=failed, progress=560/1620
  axe rep 3/3: predicted=failed, progress=561/1620
  persona_llm rep 1/3: predicted=failed, progress=562/1620
  persona_llm rep 2/3: predicted=failed, progress=563/1620
  persona_llm rep 3/3: predicted=failed, progress=564/1620
  persona_agent rep 1/3: predicted=failed, progress=565/1620
  persona_agent rep 2/3: predicted=failed, progress=566/1620
  persona_agent rep 3/3: predicted=failed, progress=567/1620
[0fd4574e8dd585f4cb14c20f9966bf94f2139ea9] persona=ian, wcag=1.3.1, expected=failed
  axe rep 1/3: predicted=failed, progress=568/1620
  axe rep 2/3: predicted=failed, progress=569/1620
  axe rep 3/3: predicted=failed, progress=570/1620
  persona_llm rep 1/3: predicted=failed, progress=571/1620
  persona_llm rep 2/3: predicted=failed, progress=572/1620
  persona_llm rep 3/3: predicted=failed, progress=573/1620
  persona_agent rep 1/3: predicted=failed, progress=574/1620
  persona_agent rep 2/3: predicted=failed, progress=575/1620
  persona_agent rep 3/3: predicted=failed, progress=576/1620
[09d9fb1862a6f579a948259a44e1117af595d937] persona=ian, wcag=1.3.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=577/1620
  axe rep 2/3: predicted=failed, progress=578/1620
  axe rep 3/3: predicted=failed, progress=579/1620
  persona_llm rep 1/3: predicted=passed, progress=580/1620
  persona_llm rep 2/3: predicted=passed, progress=581/1620
  persona_llm rep 3/3: predicted=passed, progress=582/1620
  persona_agent rep 1/3: predicted=passed, progress=583/1620
  persona_agent rep 2/3: predicted=passed, progress=584/1620
  persona_agent rep 3/3: predicted=passed, progress=585/1620
[0c53e1a110f5191e74bd97da2c92c79c40d76eb2] persona=ian, wcag=1.3.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=586/1620
  axe rep 2/3: predicted=failed, progress=587/1620
  axe rep 3/3: predicted=failed, progress=588/1620
  persona_llm rep 1/3: predicted=passed, progress=589/1620
  persona_llm rep 2/3: predicted=passed, progress=590/1620
  persona_llm rep 3/3: predicted=passed, progress=591/1620
  persona_agent rep 1/3: predicted=passed, progress=592/1620
  persona_agent rep 2/3: predicted=passed, progress=593/1620
  persona_agent rep 3/3: predicted=passed, progress=594/1620
[18adb94ce561c2d1f29dec32d91f3dd39a8e45b2] persona=ian, wcag=2.2.2, expected=passed
  axe rep 1/3: predicted=failed, progress=595/1620
  axe rep 2/3: predicted=failed, progress=596/1620
  axe rep 3/3: predicted=failed, progress=597/1620
  persona_llm rep 1/3: predicted=failed, progress=598/1620
  persona_llm rep 2/3: predicted=failed, progress=599/1620
  persona_llm rep 3/3: predicted=failed, progress=600/1620
  persona_agent rep 1/3: predicted=passed, progress=601/1620
  persona_agent rep 2/3: predicted=passed, progress=602/1620
  persona_agent rep 3/3: predicted=passed, progress=603/1620
[337477ac8e969c4d134079babf891b0f1fd33eba] persona=ian, wcag=2.2.2, expected=passed
  axe rep 1/3: predicted=failed, progress=604/1620
  axe rep 2/3: predicted=failed, progress=605/1620
  axe rep 3/3: predicted=failed, progress=606/1620
  persona_llm rep 1/3: predicted=failed, progress=607/1620
  persona_llm rep 2/3: predicted=failed, progress=608/1620
  persona_llm rep 3/3: predicted=failed, progress=609/1620
  persona_agent rep 1/3: predicted=passed, progress=610/1620
  persona_agent rep 2/3: predicted=passed, progress=611/1620
  persona_agent rep 3/3: predicted=passed, progress=612/1620
[8f0a05348afb0a218f3934157dad1b4d1673ea6a] persona=ian, wcag=2.2.2, expected=failed
  axe rep 1/3: predicted=failed, progress=613/1620
  axe rep 2/3: predicted=failed, progress=614/1620
  axe rep 3/3: predicted=failed, progress=615/1620
  persona_llm rep 1/3: predicted=failed, progress=616/1620
  persona_llm rep 2/3: predicted=failed, progress=617/1620
  persona_llm rep 3/3: predicted=failed, progress=618/1620
  persona_agent rep 1/3: predicted=passed, progress=619/1620
  persona_agent rep 2/3: predicted=passed, progress=620/1620
  persona_agent rep 3/3: predicted=passed, progress=621/1620
[axe-blink-failed-01] persona=ian, wcag=2.2.2, expected=failed
  axe rep 1/3: predicted=failed, progress=622/1620
  axe rep 2/3: predicted=failed, progress=623/1620
  axe rep 3/3: predicted=failed, progress=624/1620
  persona_llm rep 1/3: predicted=failed, progress=625/1620
  persona_llm rep 2/3: predicted=failed, progress=626/1620
  persona_llm rep 3/3: predicted=failed, progress=627/1620
  persona_agent rep 1/3: predicted=passed, progress=628/1620
  persona_agent rep 2/3: predicted=passed, progress=629/1620
  persona_agent rep 3/3: predicted=passed, progress=630/1620
[0d1564a1311c77d8693a9f839e1d752df501d441] persona=ian, wcag=2.2.2, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=631/1620
  axe rep 2/3: predicted=failed, progress=632/1620
  axe rep 3/3: predicted=failed, progress=633/1620
  persona_llm rep 1/3: predicted=failed, progress=634/1620
  persona_llm rep 2/3: predicted=failed, progress=635/1620
  persona_llm rep 3/3: predicted=failed, progress=636/1620
  persona_agent rep 1/3: predicted=passed, progress=637/1620
  persona_agent rep 2/3: predicted=passed, progress=638/1620
  persona_agent rep 3/3: predicted=passed, progress=639/1620
[37668beb45f00408309f73569e36e63dc9327620] persona=ian, wcag=2.2.2, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=640/1620
  axe rep 2/3: predicted=failed, progress=641/1620
  axe rep 3/3: predicted=failed, progress=642/1620
  persona_llm rep 1/3: predicted=passed, progress=643/1620
  persona_llm rep 2/3: predicted=passed, progress=644/1620
  persona_llm rep 3/3: predicted=passed, progress=645/1620
  persona_agent rep 1/3: predicted=passed, progress=646/1620
  persona_agent rep 2/3: predicted=passed, progress=647/1620
  persona_agent rep 3/3: predicted=passed, progress=648/1620
[081e784ed9c1c5f96f02cf04c07b7d861cf3f9af] persona=ian, wcag=2.4.6, expected=passed
  axe rep 1/3: predicted=failed, progress=649/1620
  axe rep 2/3: predicted=failed, progress=650/1620
  axe rep 3/3: predicted=failed, progress=651/1620
  persona_llm rep 1/3: predicted=failed, progress=652/1620
  persona_llm rep 2/3: predicted=failed, progress=653/1620
  persona_llm rep 3/3: predicted=failed, progress=654/1620
  persona_agent rep 1/3: predicted=passed, progress=655/1620
  persona_agent rep 2/3: predicted=passed, progress=656/1620
  persona_agent rep 3/3: predicted=passed, progress=657/1620
[14ecbd9d655c833f5f9c5ee9563c472faee663c4] persona=ian, wcag=2.4.6, expected=passed
  axe rep 1/3: predicted=failed, progress=658/1620
  axe rep 2/3: predicted=failed, progress=659/1620
  axe rep 3/3: predicted=failed, progress=660/1620
  persona_llm rep 1/3: predicted=failed, progress=661/1620
  persona_llm rep 2/3: predicted=failed, progress=662/1620
  persona_llm rep 3/3: predicted=failed, progress=663/1620
  persona_agent rep 1/3: predicted=passed, progress=664/1620
  persona_agent rep 2/3: predicted=passed, progress=665/1620
  persona_agent rep 3/3: predicted=passed, progress=666/1620
[1e52060759a535934176a5a981446066aad6b31f] persona=ian, wcag=2.4.6, expected=failed
  axe rep 1/3: predicted=failed, progress=667/1620
  axe rep 2/3: predicted=failed, progress=668/1620
  axe rep 3/3: predicted=failed, progress=669/1620
  persona_llm rep 1/3: predicted=failed, progress=670/1620
  persona_llm rep 2/3: predicted=failed, progress=671/1620
  persona_llm rep 3/3: predicted=failed, progress=672/1620
  persona_agent rep 1/3: predicted=failed, progress=673/1620
  persona_agent rep 2/3: predicted=passed, progress=674/1620
  persona_agent rep 3/3: predicted=passed, progress=675/1620
[2f1d964151ff5269a6027371956ee3b4a4a23fe7] persona=ian, wcag=2.4.6, expected=failed
  axe rep 1/3: predicted=failed, progress=676/1620
  axe rep 2/3: predicted=failed, progress=677/1620
  axe rep 3/3: predicted=failed, progress=678/1620
  persona_llm rep 1/3: predicted=failed, progress=679/1620
  persona_llm rep 2/3: predicted=failed, progress=680/1620
  persona_llm rep 3/3: predicted=failed, progress=681/1620
  persona_agent rep 1/3: predicted=passed, progress=682/1620
  persona_agent rep 2/3: predicted=passed, progress=683/1620
  persona_agent rep 3/3: predicted=passed, progress=684/1620
[1d7c2f68ba65c3d81cb8a858f52be30d48a296c3] persona=ian, wcag=2.4.6, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=685/1620
  axe rep 2/3: predicted=failed, progress=686/1620
  axe rep 3/3: predicted=failed, progress=687/1620
  persona_llm rep 1/3: predicted=failed, progress=688/1620
  persona_llm rep 2/3: predicted=failed, progress=689/1620
  persona_llm rep 3/3: predicted=failed, progress=690/1620
  persona_agent rep 1/3: predicted=passed, progress=691/1620
  persona_agent rep 2/3: predicted=passed, progress=692/1620
  persona_agent rep 3/3: predicted=passed, progress=693/1620
[26d71f03f10bc14b28212699eddafe17adafc6b8] persona=ian, wcag=2.4.6, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=694/1620
  axe rep 2/3: predicted=failed, progress=695/1620
  axe rep 3/3: predicted=failed, progress=696/1620
  persona_llm rep 1/3: predicted=failed, progress=697/1620
  persona_llm rep 2/3: predicted=failed, progress=698/1620
  persona_llm rep 3/3: predicted=failed, progress=699/1620
  persona_agent rep 1/3: predicted=passed, progress=700/1620
  persona_agent rep 2/3: predicted=passed, progress=701/1620
  persona_agent rep 3/3: predicted=passed, progress=702/1620
[ha-3-1-4-pass-01-abbr-with-title] persona=ian, wcag=3.1.4, expected=passed
  axe rep 1/3: predicted=failed, progress=703/1620
  axe rep 2/3: predicted=failed, progress=704/1620
  axe rep 3/3: predicted=failed, progress=705/1620
  persona_llm rep 1/3: predicted=passed, progress=706/1620
  persona_llm rep 2/3: predicted=passed, progress=707/1620
  persona_llm rep 3/3: predicted=passed, progress=708/1620
  persona_agent rep 1/3: predicted=passed, progress=709/1620
  persona_agent rep 2/3: predicted=passed, progress=710/1620
  persona_agent rep 3/3: predicted=passed, progress=711/1620
[ha-3-1-4-pass-02-first-use-expansion] persona=ian, wcag=3.1.4, expected=passed
  axe rep 1/3: predicted=failed, progress=712/1620
  axe rep 2/3: predicted=failed, progress=713/1620
  axe rep 3/3: predicted=failed, progress=714/1620
  persona_llm rep 1/3: predicted=failed, progress=715/1620
  persona_llm rep 2/3: predicted=failed, progress=716/1620
  persona_llm rep 3/3: predicted=failed, progress=717/1620
  persona_agent rep 1/3: predicted=failed, progress=718/1620
  persona_agent rep 2/3: predicted=failed, progress=719/1620
  persona_agent rep 3/3: predicted=failed, progress=720/1620
[ha-3-1-4-fail-01-bare-acronyms] persona=ian, wcag=3.1.4, expected=failed
  axe rep 1/3: predicted=failed, progress=721/1620
  axe rep 2/3: predicted=failed, progress=722/1620
  axe rep 3/3: predicted=failed, progress=723/1620
  persona_llm rep 1/3: predicted=passed, progress=724/1620
  persona_llm rep 2/3: predicted=passed, progress=725/1620
  persona_llm rep 3/3: predicted=failed, progress=726/1620
  persona_agent rep 1/3: predicted=passed, progress=727/1620
  persona_agent rep 2/3: predicted=passed, progress=728/1620
  persona_agent rep 3/3: predicted=passed, progress=729/1620
[ha-3-1-4-fail-02-empty-abbr-title] persona=ian, wcag=3.1.4, expected=failed
  axe rep 1/3: predicted=failed, progress=730/1620
  axe rep 2/3: predicted=failed, progress=731/1620
  axe rep 3/3: predicted=failed, progress=732/1620
  persona_llm rep 1/3: predicted=failed, progress=733/1620
  persona_llm rep 2/3: predicted=failed, progress=734/1620
  persona_llm rep 3/3: predicted=failed, progress=735/1620
  persona_agent rep 1/3: predicted=failed, progress=736/1620
  persona_agent rep 2/3: predicted=failed, progress=737/1620
  persona_agent rep 3/3: predicted=failed, progress=738/1620
[ha-3-1-4-inap-01-no-abbreviations] persona=ian, wcag=3.1.4, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=739/1620
  axe rep 2/3: predicted=failed, progress=740/1620
  axe rep 3/3: predicted=failed, progress=741/1620
  persona_llm rep 1/3: predicted=passed, progress=742/1620
  persona_llm rep 2/3: predicted=passed, progress=743/1620
  persona_llm rep 3/3: predicted=passed, progress=744/1620
  persona_agent rep 1/3: predicted=passed, progress=745/1620
  persona_agent rep 2/3: predicted=passed, progress=746/1620
  persona_agent rep 3/3: predicted=passed, progress=747/1620
[ha-3-1-4-inap-02-only-common-words] persona=ian, wcag=3.1.4, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=748/1620
  axe rep 2/3: predicted=failed, progress=749/1620
  axe rep 3/3: predicted=failed, progress=750/1620
  persona_llm rep 1/3: predicted=failed, progress=751/1620
  persona_llm rep 2/3: predicted=failed, progress=752/1620
  persona_llm rep 3/3: predicted=failed, progress=753/1620
  persona_agent rep 1/3: predicted=passed, progress=754/1620
  persona_agent rep 2/3: predicted=passed, progress=755/1620
  persona_agent rep 3/3: predicted=passed, progress=756/1620
[ha-3-1-5-pass-01-with-summary] persona=ian, wcag=3.1.5, expected=passed
  axe rep 1/3: predicted=failed, progress=757/1620
  axe rep 2/3: predicted=failed, progress=758/1620
  axe rep 3/3: predicted=failed, progress=759/1620
  persona_llm rep 1/3: predicted=failed, progress=760/1620
  persona_llm rep 2/3: predicted=failed, progress=761/1620
  persona_llm rep 3/3: predicted=failed, progress=762/1620
  persona_agent rep 1/3: predicted=failed, progress=763/1620
  persona_agent rep 2/3: predicted=failed, progress=764/1620
  persona_agent rep 3/3: predicted=failed, progress=765/1620
[ha-3-1-5-pass-02-simple-prose] persona=ian, wcag=3.1.5, expected=passed
  axe rep 1/3: predicted=failed, progress=766/1620
